cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the wcl selected dataset (by weighted the boundary points).
Now try to run the WCL algorithm, by scaling up boundary sample scores
Scale up the boundary sample scores to 1
Start to select 28000 samples for a fair comparison.
Use multiple GPU to train the network.
load parameters
Use 100 epochs

Epoch: 0
 [>................................................................] 1/110   Step: 40s678ms | Tot: 0ms | Loss: 0.516 | Acc: 85.156% (218/256)              
 [>................................................................] 2/110   Step: 1s960ms | Tot: 1s960ms | Loss: 0.465 | Acc: 86.133% (441/512)              
 [=>...............................................................] 3/110   Step: 961ms | Tot: 2s922ms | Loss: 0.456 | Acc: 86.979% (668/768)              
 [=>...............................................................] 4/110   Step: 1s153ms | Tot: 4s75ms | Loss: 0.472 | Acc: 86.914% (890/1024)              
 [==>..............................................................] 5/110   Step: 984ms | Tot: 5s59ms | Loss: 0.493 | Acc: 86.406% (1106/1280)              
 [==>..............................................................] 6/110   Step: 967ms | Tot: 6s27ms | Loss: 0.498 | Acc: 86.198% (1324/1536)              
 [===>.............................................................] 7/110   Step: 954ms | Tot: 6s982ms | Loss: 0.506 | Acc: 86.161% (1544/1792)              
 [====>............................................................] 8/110   Step: 955ms | Tot: 7s938ms | Loss: 0.503 | Acc: 86.279% (1767/2048)              
 [====>............................................................] 9/110   Step: 1s59ms | Tot: 8s997ms | Loss: 0.514 | Acc: 86.458% (1992/2304)              
 [=====>...........................................................] 10/110   Step: 948ms | Tot: 9s945ms | Loss: 0.520 | Acc: 86.211% (2207/2560)              
 [=====>...........................................................] 11/110   Step: 965ms | Tot: 10s911ms | Loss: 0.509 | Acc: 86.506% (2436/2816)              
 [======>..........................................................] 12/110   Step: 950ms | Tot: 11s862ms | Loss: 0.511 | Acc: 86.458% (2656/3072)              
 [=======>.........................................................] 13/110   Step: 951ms | Tot: 12s813ms | Loss: 0.500 | Acc: 86.689% (2885/3328)              
 [=======>.........................................................] 14/110   Step: 1s55ms | Tot: 13s868ms | Loss: 0.499 | Acc: 86.747% (3109/3584)              
 [========>........................................................] 15/110   Step: 979ms | Tot: 14s847ms | Loss: 0.506 | Acc: 86.641% (3327/3840)              
 [========>........................................................] 16/110   Step: 985ms | Tot: 15s833ms | Loss: 0.512 | Acc: 86.499% (3543/4096)              
 [=========>.......................................................] 17/110   Step: 951ms | Tot: 16s784ms | Loss: 0.511 | Acc: 86.512% (3765/4352)              
 [==========>......................................................] 18/110   Step: 965ms | Tot: 17s750ms | Loss: 0.508 | Acc: 86.523% (3987/4608)              
 [==========>......................................................] 19/110   Step: 1s69ms | Tot: 18s819ms | Loss: 0.507 | Acc: 86.637% (4214/4864)              
 [===========>.....................................................] 20/110   Step: 964ms | Tot: 19s783ms | Loss: 0.503 | Acc: 86.816% (4445/5120)              
 [===========>.....................................................] 21/110   Step: 989ms | Tot: 20s772ms | Loss: 0.502 | Acc: 86.830% (4668/5376)              
 [============>....................................................] 22/110   Step: 957ms | Tot: 21s730ms | Loss: 0.501 | Acc: 86.861% (4892/5632)              
 [=============>...................................................] 23/110   Step: 1s99ms | Tot: 22s829ms | Loss: 0.495 | Acc: 87.024% (5124/5888)              
 [=============>...................................................] 24/110   Step: 956ms | Tot: 23s786ms | Loss: 0.492 | Acc: 87.077% (5350/6144)              
 [==============>..................................................] 25/110   Step: 977ms | Tot: 24s764ms | Loss: 0.489 | Acc: 87.156% (5578/6400)              
 [==============>..................................................] 26/110   Step: 991ms | Tot: 25s755ms | Loss: 0.488 | Acc: 87.184% (5803/6656)              
 [===============>.................................................] 27/110   Step: 949ms | Tot: 26s705ms | Loss: 0.481 | Acc: 87.355% (6038/6912)              
 [===============>.................................................] 28/110   Step: 1s59ms | Tot: 27s765ms | Loss: 0.480 | Acc: 87.416% (6266/7168)              
 [================>................................................] 29/110   Step: 953ms | Tot: 28s718ms | Loss: 0.476 | Acc: 87.473% (6494/7424)              
 [=================>...............................................] 30/110   Step: 951ms | Tot: 29s669ms | Loss: 0.476 | Acc: 87.552% (6724/7680)              
 [=================>...............................................] 31/110   Step: 960ms | Tot: 30s630ms | Loss: 0.470 | Acc: 87.702% (6960/7936)              
 [==================>..............................................] 32/110   Step: 1s58ms | Tot: 31s688ms | Loss: 0.472 | Acc: 87.646% (7180/8192)              
 [==================>..............................................] 33/110   Step: 951ms | Tot: 32s640ms | Loss: 0.473 | Acc: 87.666% (7406/8448)              
 [===================>.............................................] 34/110   Step: 949ms | Tot: 33s589ms | Loss: 0.470 | Acc: 87.741% (7637/8704)              
 [====================>............................................] 35/110   Step: 964ms | Tot: 34s553ms | Loss: 0.468 | Acc: 87.812% (7868/8960)              
 [====================>............................................] 36/110   Step: 981ms | Tot: 35s535ms | Loss: 0.466 | Acc: 87.847% (8096/9216)              
 [=====================>...........................................] 37/110   Step: 1s52ms | Tot: 36s588ms | Loss: 0.464 | Acc: 87.891% (8325/9472)              
 [=====================>...........................................] 38/110   Step: 958ms | Tot: 37s546ms | Loss: 0.464 | Acc: 87.932% (8554/9728)              
 [======================>..........................................] 39/110   Step: 954ms | Tot: 38s501ms | Loss: 0.466 | Acc: 87.901% (8776/9984)              
 [=======================>.........................................] 40/110   Step: 946ms | Tot: 39s447ms | Loss: 0.465 | Acc: 87.949% (9006/10240)              
 [=======================>.........................................] 41/110   Step: 1s70ms | Tot: 40s518ms | Loss: 0.463 | Acc: 87.957% (9232/10496)              
 [========================>........................................] 42/110   Step: 961ms | Tot: 41s479ms | Loss: 0.463 | Acc: 87.956% (9457/10752)              
 [========================>........................................] 43/110   Step: 953ms | Tot: 42s433ms | Loss: 0.465 | Acc: 87.954% (9682/11008)              
 [=========================>.......................................] 44/110   Step: 954ms | Tot: 43s388ms | Loss: 0.465 | Acc: 87.953% (9907/11264)              
 [==========================>......................................] 45/110   Step: 964ms | Tot: 44s352ms | Loss: 0.463 | Acc: 88.038% (10142/11520)              
 [==========================>......................................] 46/110   Step: 1s104ms | Tot: 45s457ms | Loss: 0.461 | Acc: 88.086% (10373/11776)              
 [===========================>.....................................] 47/110   Step: 950ms | Tot: 46s407ms | Loss: 0.459 | Acc: 88.107% (10601/12032)              
 [===========================>.....................................] 48/110   Step: 960ms | Tot: 47s367ms | Loss: 0.455 | Acc: 88.184% (10836/12288)              
 [============================>....................................] 49/110   Step: 951ms | Tot: 48s319ms | Loss: 0.454 | Acc: 88.241% (11069/12544)              
 [============================>....................................] 50/110   Step: 949ms | Tot: 49s268ms | Loss: 0.453 | Acc: 88.281% (11300/12800)              
 [=============================>...................................] 51/110   Step: 1s102ms | Tot: 50s371ms | Loss: 0.453 | Acc: 88.304% (11529/13056)              
 [==============================>..................................] 52/110   Step: 965ms | Tot: 51s336ms | Loss: 0.451 | Acc: 88.334% (11759/13312)              
 [==============================>..................................] 53/110   Step: 952ms | Tot: 52s289ms | Loss: 0.451 | Acc: 88.355% (11988/13568)              
 [===============================>.................................] 54/110   Step: 949ms | Tot: 53s238ms | Loss: 0.449 | Acc: 88.390% (12219/13824)              
 [===============================>.................................] 55/110   Step: 1s67ms | Tot: 54s306ms | Loss: 0.448 | Acc: 88.416% (12449/14080)              
 [================================>................................] 56/110   Step: 981ms | Tot: 55s287ms | Loss: 0.444 | Acc: 88.484% (12685/14336)              
