cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the cl selected dataset.
------------------ Start to select subsets ------------------
Select 28000 samples
Selected 28000 samples.
Use multiple GPU to train the network.
load parameters
Use 100 epochs

Epoch: 0
 [>................................................................] 1/110   Step: 41s102ms | Tot: 0ms | Loss: 0.008 | Acc: 100.000% (256/256)              
 [>................................................................] 2/110   Step: 1s951ms | Tot: 1s951ms | Loss: 0.008 | Acc: 100.000% (512/512)              
 [=>...............................................................] 3/110   Step: 960ms | Tot: 2s912ms | Loss: 0.009 | Acc: 100.000% (768/768)              
 [=>...............................................................] 4/110   Step: 1s156ms | Tot: 4s69ms | Loss: 0.009 | Acc: 100.000% (1024/1024)              
 [==>..............................................................] 5/110   Step: 951ms | Tot: 5s20ms | Loss: 0.010 | Acc: 100.000% (1280/1280)              
 [==>..............................................................] 6/110   Step: 952ms | Tot: 5s972ms | Loss: 0.009 | Acc: 100.000% (1536/1536)              
 [===>.............................................................] 7/110   Step: 949ms | Tot: 6s922ms | Loss: 0.009 | Acc: 100.000% (1792/1792)              
 [====>............................................................] 8/110   Step: 952ms | Tot: 7s874ms | Loss: 0.010 | Acc: 100.000% (2048/2048)              
 [====>............................................................] 9/110   Step: 1s54ms | Tot: 8s929ms | Loss: 0.010 | Acc: 100.000% (2304/2304)              
 [=====>...........................................................] 10/110   Step: 969ms | Tot: 9s899ms | Loss: 0.010 | Acc: 100.000% (2560/2560)              
 [=====>...........................................................] 11/110   Step: 952ms | Tot: 10s851ms | Loss: 0.010 | Acc: 100.000% (2816/2816)              
 [======>..........................................................] 12/110   Step: 946ms | Tot: 11s797ms | Loss: 0.010 | Acc: 100.000% (3072/3072)              
 [=======>.........................................................] 13/110   Step: 951ms | Tot: 12s749ms | Loss: 0.010 | Acc: 100.000% (3328/3328)              
 [=======>.........................................................] 14/110   Step: 1s59ms | Tot: 13s808ms | Loss: 0.009 | Acc: 100.000% (3584/3584)              
 [========>........................................................] 15/110   Step: 949ms | Tot: 14s757ms | Loss: 0.009 | Acc: 100.000% (3840/3840)              
 [========>........................................................] 16/110   Step: 948ms | Tot: 15s706ms | Loss: 0.009 | Acc: 100.000% (4096/4096)              
 [=========>.......................................................] 17/110   Step: 958ms | Tot: 16s664ms | Loss: 0.010 | Acc: 99.977% (4351/4352)              
 [==========>......................................................] 18/110   Step: 1s62ms | Tot: 17s727ms | Loss: 0.010 | Acc: 99.978% (4607/4608)              
 [==========>......................................................] 19/110   Step: 957ms | Tot: 18s684ms | Loss: 0.010 | Acc: 99.979% (4863/4864)              
 [===========>.....................................................] 20/110   Step: 948ms | Tot: 19s633ms | Loss: 0.009 | Acc: 99.980% (5119/5120)              
 [===========>.....................................................] 21/110   Step: 967ms | Tot: 20s601ms | Loss: 0.009 | Acc: 99.981% (5375/5376)              
 [============>....................................................] 22/110   Step: 947ms | Tot: 21s548ms | Loss: 0.009 | Acc: 99.982% (5631/5632)              
 [=============>...................................................] 23/110   Step: 1s59ms | Tot: 22s607ms | Loss: 0.010 | Acc: 99.983% (5887/5888)              
 [=============>...................................................] 24/110   Step: 956ms | Tot: 23s564ms | Loss: 0.010 | Acc: 99.984% (6143/6144)              
 [==============>..................................................] 25/110   Step: 948ms | Tot: 24s513ms | Loss: 0.010 | Acc: 99.984% (6399/6400)              
 [==============>..................................................] 26/110   Step: 953ms | Tot: 25s466ms | Loss: 0.010 | Acc: 99.985% (6655/6656)              
 [===============>.................................................] 27/110   Step: 1s108ms | Tot: 26s575ms | Loss: 0.010 | Acc: 99.986% (6911/6912)              
 [===============>.................................................] 28/110   Step: 948ms | Tot: 27s524ms | Loss: 0.010 | Acc: 99.986% (7167/7168)              
 [================>................................................] 29/110   Step: 947ms | Tot: 28s472ms | Loss: 0.010 | Acc: 99.987% (7423/7424)              
 [=================>...............................................] 30/110   Step: 947ms | Tot: 29s419ms | Loss: 0.010 | Acc: 99.987% (7679/7680)              
 [=================>...............................................] 31/110   Step: 968ms | Tot: 30s387ms | Loss: 0.010 | Acc: 99.987% (7935/7936)              
 [==================>..............................................] 32/110   Step: 1s55ms | Tot: 31s442ms | Loss: 0.010 | Acc: 99.988% (8191/8192)              
 [==================>..............................................] 33/110   Step: 946ms | Tot: 32s389ms | Loss: 0.010 | Acc: 99.988% (8447/8448)              
 [===================>.............................................] 34/110   Step: 946ms | Tot: 33s335ms | Loss: 0.010 | Acc: 99.989% (8703/8704)              
 [====================>............................................] 35/110   Step: 946ms | Tot: 34s282ms | Loss: 0.010 | Acc: 99.989% (8959/8960)              
 [====================>............................................] 36/110   Step: 1s60ms | Tot: 35s342ms | Loss: 0.010 | Acc: 99.989% (9215/9216)              
 [=====================>...........................................] 37/110   Step: 948ms | Tot: 36s291ms | Loss: 0.010 | Acc: 99.989% (9471/9472)              
 [=====================>...........................................] 38/110   Step: 952ms | Tot: 37s243ms | Loss: 0.010 | Acc: 99.990% (9727/9728)              
 [======================>..........................................] 39/110   Step: 952ms | Tot: 38s195ms | Loss: 0.010 | Acc: 99.990% (9983/9984)              
 [=======================>.........................................] 40/110   Step: 950ms | Tot: 39s146ms | Loss: 0.010 | Acc: 99.990% (10239/10240)              
 [=======================>.........................................] 41/110   Step: 1s77ms | Tot: 40s223ms | Loss: 0.010 | Acc: 99.990% (10495/10496)              
 [========================>........................................] 42/110   Step: 956ms | Tot: 41s179ms | Loss: 0.010 | Acc: 99.991% (10751/10752)              
 [========================>........................................] 43/110   Step: 953ms | Tot: 42s132ms | Loss: 0.010 | Acc: 99.991% (11007/11008)              
 [=========================>.......................................] 44/110   Step: 954ms | Tot: 43s86ms | Loss: 0.010 | Acc: 99.991% (11263/11264)              
 [==========================>......................................] 45/110   Step: 1s91ms | Tot: 44s178ms | Loss: 0.010 | Acc: 99.991% (11519/11520)              
 [==========================>......................................] 46/110   Step: 955ms | Tot: 45s134ms | Loss: 0.010 | Acc: 99.992% (11775/11776)              
 [===========================>.....................................] 47/110   Step: 945ms | Tot: 46s80ms | Loss: 0.010 | Acc: 99.992% (12031/12032)              
 [===========================>.....................................] 48/110   Step: 947ms | Tot: 47s27ms | Loss: 0.010 | Acc: 99.992% (12287/12288)              
 [============================>....................................] 49/110   Step: 950ms | Tot: 47s978ms | Loss: 0.010 | Acc: 99.992% (12543/12544)              
 [============================>....................................] 50/110   Step: 1s71ms | Tot: 49s49ms | Loss: 0.010 | Acc: 99.992% (12799/12800)              
 [=============================>...................................] 51/110   Step: 965ms | Tot: 50s15ms | Loss: 0.010 | Acc: 99.992% (13055/13056)              
 [==============================>..................................] 52/110   Step: 948ms | Tot: 50s963ms | Loss: 0.010 | Acc: 99.992% (13311/13312)              
 [==============================>..................................] 53/110   Step: 948ms | Tot: 51s912ms | Loss: 0.010 | Acc: 99.993% (13567/13568)              
 [===============================>.................................] 54/110   Step: 949ms | Tot: 52s861ms | Loss: 0.010 | Acc: 99.993% (13823/13824)              
 [===============================>.................................] 55/110   Step: 1s55ms | Tot: 53s916ms | Loss: 0.010 | Acc: 99.993% (14079/14080)              
 [================================>................................] 56/110   Step: 948ms | Tot: 54s864ms | Loss: 0.010 | Acc: 99.993% (14335/14336)              
 [=================================>...............................] 57/110   Step: 951ms | Tot: 55s816ms | Loss: 0.010 | Acc: 99.993% (14591/14592)              
 [=================================>...............................] 58/110   Step: 959ms | Tot: 56s776ms | Loss: 0.010 | Acc: 99.993% (14847/14848)              
 [==================================>..............................] 59/110   Step: 949ms | Tot: 57s726ms | Loss: 0.010 | Acc: 99.987% (15102/15104)              
 [==================================>..............................] 60/110   Step: 1s56ms | Tot: 58s782ms | Loss: 0.010 | Acc: 99.987% (15358/15360)              
 [===================================>.............................] 61/110   Step: 947ms | Tot: 59s730ms | Loss: 0.010 | Acc: 99.981% (15613/15616)              
 [====================================>............................] 62/110   Step: 962ms | Tot: 1m692ms | Loss: 0.010 | Acc: 99.981% (15869/15872)              
 [====================================>............................] 63/110   Step: 948ms | Tot: 1m1s | Loss: 0.010 | Acc: 99.981% (16125/16128)              
 [=====================================>...........................] 64/110   Step: 1s54ms | Tot: 1m2s | Loss: 0.010 | Acc: 99.982% (16381/16384)              
 [=====================================>...........................] 65/110   Step: 948ms | Tot: 1m3s | Loss: 0.010 | Acc: 99.982% (16637/16640)              
 [======================================>..........................] 66/110   Step: 944ms | Tot: 1m4s | Loss: 0.010 | Acc: 99.982% (16893/16896)              
 [=======================================>.........................] 67/110   Step: 955ms | Tot: 1m5s | Loss: 0.010 | Acc: 99.983% (17149/17152)              
 [=======================================>.........................] 68/110   Step: 956ms | Tot: 1m6s | Loss: 0.010 | Acc: 99.983% (17405/17408)              
 [========================================>........................] 69/110   Step: 1s64ms | Tot: 1m7s | Loss: 0.010 | Acc: 99.983% (17661/17664)              
 [========================================>........................] 70/110   Step: 953ms | Tot: 1m8s | Loss: 0.010 | Acc: 99.978% (17916/17920)              
 [=========================================>.......................] 71/110   Step: 948ms | Tot: 1m9s | Loss: 0.010 | Acc: 99.978% (18172/18176)              
