cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the pop selected dataset.
Train with the selected 12592 samples.
Use multiple GPU to train the network.
load parameters
Use 100 epochs

Epoch: 0
 [>................................................................] 1/50   Step: 38s843ms | Tot: 0ms | Loss: 0.006 | Acc: 100.000% (256/256)              
 [=>...............................................................] 2/50   Step: 1s980ms | Tot: 1s980ms | Loss: 0.009 | Acc: 100.000% (512/512)              
 [==>..............................................................] 3/50   Step: 983ms | Tot: 2s963ms | Loss: 0.008 | Acc: 100.000% (768/768)              
 [===>.............................................................] 4/50   Step: 1s169ms | Tot: 4s133ms | Loss: 0.008 | Acc: 100.000% (1024/1024)              
 [=====>...........................................................] 5/50   Step: 966ms | Tot: 5s99ms | Loss: 0.009 | Acc: 100.000% (1280/1280)              
 [======>..........................................................] 6/50   Step: 969ms | Tot: 6s68ms | Loss: 0.009 | Acc: 100.000% (1536/1536)              
 [=======>.........................................................] 7/50   Step: 966ms | Tot: 7s35ms | Loss: 0.009 | Acc: 100.000% (1792/1792)              
 [=========>.......................................................] 8/50   Step: 972ms | Tot: 8s8ms | Loss: 0.009 | Acc: 100.000% (2048/2048)              
 [==========>......................................................] 9/50   Step: 1s69ms | Tot: 9s77ms | Loss: 0.009 | Acc: 100.000% (2304/2304)              
 [===========>.....................................................] 10/50   Step: 964ms | Tot: 10s41ms | Loss: 0.009 | Acc: 99.961% (2559/2560)              
 [=============>...................................................] 11/50   Step: 959ms | Tot: 11s1ms | Loss: 0.009 | Acc: 99.964% (2815/2816)              
 [==============>..................................................] 12/50   Step: 970ms | Tot: 11s971ms | Loss: 0.009 | Acc: 99.967% (3071/3072)              
 [===============>.................................................] 13/50   Step: 1s82ms | Tot: 13s54ms | Loss: 0.009 | Acc: 99.970% (3327/3328)              
 [================>................................................] 14/50   Step: 968ms | Tot: 14s23ms | Loss: 0.009 | Acc: 99.972% (3583/3584)              
 [==================>..............................................] 15/50   Step: 966ms | Tot: 14s989ms | Loss: 0.009 | Acc: 99.948% (3838/3840)              
 [===================>.............................................] 16/50   Step: 971ms | Tot: 15s961ms | Loss: 0.009 | Acc: 99.951% (4094/4096)              
 [====================>............................................] 17/50   Step: 970ms | Tot: 16s931ms | Loss: 0.009 | Acc: 99.954% (4350/4352)              
 [======================>..........................................] 18/50   Step: 1s81ms | Tot: 18s13ms | Loss: 0.009 | Acc: 99.957% (4606/4608)              
 [=======================>.........................................] 19/50   Step: 971ms | Tot: 18s984ms | Loss: 0.009 | Acc: 99.959% (4862/4864)              
 [========================>........................................] 20/50   Step: 961ms | Tot: 19s946ms | Loss: 0.009 | Acc: 99.941% (5117/5120)              
 [==========================>......................................] 21/50   Step: 979ms | Tot: 20s925ms | Loss: 0.009 | Acc: 99.944% (5373/5376)              
 [===========================>.....................................] 22/50   Step: 978ms | Tot: 21s904ms | Loss: 0.009 | Acc: 99.929% (5628/5632)              
 [============================>....................................] 23/50   Step: 1s118ms | Tot: 23s23ms | Loss: 0.009 | Acc: 99.932% (5884/5888)              
 [=============================>...................................] 24/50   Step: 962ms | Tot: 23s985ms | Loss: 0.009 | Acc: 99.935% (6140/6144)              
 [===============================>.................................] 25/50   Step: 961ms | Tot: 24s946ms | Loss: 0.009 | Acc: 99.938% (6396/6400)              
 [================================>................................] 26/50   Step: 966ms | Tot: 25s913ms | Loss: 0.009 | Acc: 99.925% (6651/6656)              
 [=================================>...............................] 27/50   Step: 964ms | Tot: 26s877ms | Loss: 0.009 | Acc: 99.928% (6907/6912)              
 [===================================>.............................] 28/50   Step: 1s80ms | Tot: 27s957ms | Loss: 0.009 | Acc: 99.930% (7163/7168)              
 [====================================>............................] 29/50   Step: 967ms | Tot: 28s925ms | Loss: 0.009 | Acc: 99.933% (7419/7424)              
 [=====================================>...........................] 30/50   Step: 959ms | Tot: 29s884ms | Loss: 0.009 | Acc: 99.935% (7675/7680)              
 [=======================================>.........................] 31/50   Step: 964ms | Tot: 30s849ms | Loss: 0.009 | Acc: 99.937% (7931/7936)              
 [========================================>........................] 32/50   Step: 1s74ms | Tot: 31s923ms | Loss: 0.009 | Acc: 99.939% (8187/8192)              
 [=========================================>.......................] 33/50   Step: 971ms | Tot: 32s895ms | Loss: 0.009 | Acc: 99.929% (8442/8448)              
 [==========================================>......................] 34/50   Step: 968ms | Tot: 33s863ms | Loss: 0.009 | Acc: 99.931% (8698/8704)              
 [============================================>....................] 35/50   Step: 985ms | Tot: 34s848ms | Loss: 0.009 | Acc: 99.933% (8954/8960)              
 [=============================================>...................] 36/50   Step: 968ms | Tot: 35s817ms | Loss: 0.009 | Acc: 99.935% (9210/9216)              
 [==============================================>..................] 37/50   Step: 1s69ms | Tot: 36s886ms | Loss: 0.009 | Acc: 99.937% (9466/9472)              
 [================================================>................] 38/50   Step: 972ms | Tot: 37s859ms | Loss: 0.009 | Acc: 99.938% (9722/9728)              
 [=================================================>...............] 39/50   Step: 970ms | Tot: 38s829ms | Loss: 0.009 | Acc: 99.940% (9978/9984)              
 [==================================================>..............] 40/50   Step: 956ms | Tot: 39s786ms | Loss: 0.009 | Acc: 99.941% (10234/10240)              
 [====================================================>............] 41/50   Step: 1s104ms | Tot: 40s891ms | Loss: 0.009 | Acc: 99.943% (10490/10496)              
 [=====================================================>...........] 42/50   Step: 968ms | Tot: 41s859ms | Loss: 0.009 | Acc: 99.944% (10746/10752)              
 [======================================================>..........] 43/50   Step: 968ms | Tot: 42s828ms | Loss: 0.009 | Acc: 99.945% (11002/11008)              
 [=======================================================>.........] 44/50   Step: 965ms | Tot: 43s793ms | Loss: 0.009 | Acc: 99.947% (11258/11264)              
 [=========================================================>.......] 45/50   Step: 966ms | Tot: 44s759ms | Loss: 0.009 | Acc: 99.948% (11514/11520)              
 [==========================================================>......] 46/50   Step: 1s | Tot: 45s760ms | Loss: 0.009 | Acc: 99.949% (11770/11776)              
 [===========================================================>.....] 47/50   Step: 850ms | Tot: 46s610ms | Loss: 0.009 | Acc: 99.950% (12026/12032)              
 [=============================================================>...] 48/50   Step: 858ms | Tot: 47s468ms | Loss: 0.009 | Acc: 99.951% (12282/12288)              
 [==============================================================>..] 49/50   Step: 852ms | Tot: 48s321ms | Loss: 0.009 | Acc: 99.952% (12538/12544)              
 [===============================================================>.] 50/50   Step: 7s768ms | Tot: 56s90ms | Loss: 0.010 | Acc: 99.944% (12585/12592)
 [>................................................................] 1/40   Step: 1s254ms | Tot: 0ms | Loss: 1.670 | Acc: 60.156% (154/256)              
 [=>...............................................................] 2/40   Step: 423ms | Tot: 423ms | Loss: 1.738 | Acc: 59.961% (307/512)              
 [===>.............................................................] 3/40   Step: 415ms | Tot: 838ms | Loss: 1.705 | Acc: 60.286% (463/768)              
 [====>............................................................] 4/40   Step: 419ms | Tot: 1s258ms | Loss: 1.748 | Acc: 59.766% (612/1024)              
 [======>..........................................................] 5/40   Step: 415ms | Tot: 1s673ms | Loss: 1.803 | Acc: 59.688% (764/1280)              
 [========>........................................................] 6/40   Step: 414ms | Tot: 2s88ms | Loss: 1.816 | Acc: 59.570% (915/1536)              
 [=========>.......................................................] 7/40   Step: 416ms | Tot: 2s504ms | Loss: 1.863 | Acc: 58.538% (1049/1792)              
 [===========>.....................................................] 8/40   Step: 525ms | Tot: 3s30ms | Loss: 1.864 | Acc: 58.838% (1205/2048)              
 [=============>...................................................] 9/40   Step: 415ms | Tot: 3s445ms | Loss: 1.864 | Acc: 58.898% (1357/2304)              
 [==============>..................................................] 10/40   Step: 414ms | Tot: 3s859ms | Loss: 1.860 | Acc: 58.516% (1498/2560)              
 [================>................................................] 11/40   Step: 415ms | Tot: 4s275ms | Loss: 1.833 | Acc: 58.913% (1659/2816)              
 [=================>...............................................] 12/40   Step: 417ms | Tot: 4s693ms | Loss: 1.835 | Acc: 58.757% (1805/3072)              
 [===================>.............................................] 13/40   Step: 422ms | Tot: 5s115ms | Loss: 1.827 | Acc: 58.714% (1954/3328)              
 [=====================>...........................................] 14/40   Step: 415ms | Tot: 5s531ms | Loss: 1.833 | Acc: 58.650% (2102/3584)              
 [======================>..........................................] 15/40   Step: 525ms | Tot: 6s57ms | Loss: 1.835 | Acc: 58.724% (2255/3840)              
 [========================>........................................] 16/40   Step: 416ms | Tot: 6s473ms | Loss: 1.839 | Acc: 58.667% (2403/4096)              
 [==========================>......................................] 17/40   Step: 416ms | Tot: 6s889ms | Loss: 1.836 | Acc: 58.502% (2546/4352)              
 [===========================>.....................................] 18/40   Step: 419ms | Tot: 7s309ms | Loss: 1.832 | Acc: 58.507% (2696/4608)              
 [=============================>...................................] 19/40   Step: 414ms | Tot: 7s723ms | Loss: 1.836 | Acc: 58.326% (2837/4864)              
 [==============================>..................................] 20/40   Step: 417ms | Tot: 8s140ms | Loss: 1.829 | Acc: 58.379% (2989/5120)              
 [================================>................................] 21/40   Step: 416ms | Tot: 8s557ms | Loss: 1.830 | Acc: 58.557% (3148/5376)              
 [==================================>..............................] 22/40   Step: 520ms | Tot: 9s77ms | Loss: 1.827 | Acc: 58.665% (3304/5632)              
 [===================================>.............................] 23/40   Step: 419ms | Tot: 9s496ms | Loss: 1.828 | Acc: 58.679% (3455/5888)              
 [=====================================>...........................] 24/40   Step: 416ms | Tot: 9s913ms | Loss: 1.828 | Acc: 58.643% (3603/6144)              
 [=======================================>.........................] 25/40   Step: 419ms | Tot: 10s332ms | Loss: 1.830 | Acc: 58.562% (3748/6400)              
