cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the bwcl selected dataset.
Now try to run the BWCL algorithm
10347 boundary samples
Select 20000 samples
Load selected sample idx
Selected 20000 samples for a fair comparison.
Use multiple GPU to train the network.
load parameters
Use 100 epochs

Epoch: 0
 [>................................................................] 1/79   Step: 32s853ms | Tot: 0ms | Loss: 0.183 | Acc: 94.922% (243/256)              
 [>................................................................] 2/79   Step: 1s952ms | Tot: 1s952ms | Loss: 0.182 | Acc: 94.727% (485/512)              
 [=>...............................................................] 3/79   Step: 956ms | Tot: 2s908ms | Loss: 0.193 | Acc: 94.401% (725/768)              
 [==>..............................................................] 4/79   Step: 1s102ms | Tot: 4s10ms | Loss: 0.210 | Acc: 94.043% (963/1024)              
 [===>.............................................................] 5/79   Step: 943ms | Tot: 4s954ms | Loss: 0.200 | Acc: 94.297% (1207/1280)              
 [====>............................................................] 6/79   Step: 937ms | Tot: 5s891ms | Loss: 0.187 | Acc: 94.922% (1458/1536)              
 [====>............................................................] 7/79   Step: 947ms | Tot: 6s838ms | Loss: 0.184 | Acc: 95.089% (1704/1792)              
 [=====>...........................................................] 8/79   Step: 959ms | Tot: 7s798ms | Loss: 0.179 | Acc: 95.264% (1951/2048)              
 [======>..........................................................] 9/79   Step: 1s38ms | Tot: 8s836ms | Loss: 0.172 | Acc: 95.486% (2200/2304)              
 [=======>.........................................................] 10/79   Step: 940ms | Tot: 9s776ms | Loss: 0.167 | Acc: 95.703% (2450/2560)              
 [========>........................................................] 11/79   Step: 935ms | Tot: 10s712ms | Loss: 0.166 | Acc: 95.739% (2696/2816)              
 [=========>.......................................................] 12/79   Step: 942ms | Tot: 11s654ms | Loss: 0.164 | Acc: 95.736% (2941/3072)              
 [=========>.......................................................] 13/79   Step: 1s55ms | Tot: 12s710ms | Loss: 0.160 | Acc: 96.004% (3195/3328)              
 [==========>......................................................] 14/79   Step: 951ms | Tot: 13s662ms | Loss: 0.157 | Acc: 96.038% (3442/3584)              
 [===========>.....................................................] 15/79   Step: 951ms | Tot: 14s613ms | Loss: 0.155 | Acc: 96.094% (3690/3840)              
 [============>....................................................] 16/79   Step: 932ms | Tot: 15s546ms | Loss: 0.153 | Acc: 96.118% (3937/4096)              
 [=============>...................................................] 17/79   Step: 939ms | Tot: 16s485ms | Loss: 0.151 | Acc: 96.186% (4186/4352)              
 [=============>...................................................] 18/79   Step: 1s58ms | Tot: 17s544ms | Loss: 0.146 | Acc: 96.311% (4438/4608)              
 [==============>..................................................] 19/79   Step: 935ms | Tot: 18s479ms | Loss: 0.144 | Acc: 96.320% (4685/4864)              
 [===============>.................................................] 20/79   Step: 947ms | Tot: 19s426ms | Loss: 0.140 | Acc: 96.387% (4935/5120)              
 [================>................................................] 21/79   Step: 939ms | Tot: 20s365ms | Loss: 0.138 | Acc: 96.447% (5185/5376)              
 [=================>...............................................] 22/79   Step: 935ms | Tot: 21s300ms | Loss: 0.136 | Acc: 96.538% (5437/5632)              
 [==================>..............................................] 23/79   Step: 1s86ms | Tot: 22s386ms | Loss: 0.136 | Acc: 96.535% (5684/5888)              
 [==================>..............................................] 24/79   Step: 941ms | Tot: 23s328ms | Loss: 0.136 | Acc: 96.582% (5934/6144)              
 [===================>.............................................] 25/79   Step: 951ms | Tot: 24s280ms | Loss: 0.134 | Acc: 96.641% (6185/6400)              
 [====================>............................................] 26/79   Step: 936ms | Tot: 25s216ms | Loss: 0.133 | Acc: 96.650% (6433/6656)              
 [=====================>...........................................] 27/79   Step: 1s58ms | Tot: 26s275ms | Loss: 0.131 | Acc: 96.716% (6685/6912)              
 [======================>..........................................] 28/79   Step: 952ms | Tot: 27s228ms | Loss: 0.129 | Acc: 96.777% (6937/7168)              
 [=======================>.........................................] 29/79   Step: 946ms | Tot: 28s174ms | Loss: 0.127 | Acc: 96.835% (7189/7424)              
 [=======================>.........................................] 30/79   Step: 937ms | Tot: 29s112ms | Loss: 0.127 | Acc: 96.823% (7436/7680)              
 [========================>........................................] 31/79   Step: 938ms | Tot: 30s50ms | Loss: 0.126 | Acc: 96.837% (7685/7936)              
 [=========================>.......................................] 32/79   Step: 1s36ms | Tot: 31s86ms | Loss: 0.125 | Acc: 96.863% (7935/8192)              
 [==========================>......................................] 33/79   Step: 950ms | Tot: 32s36ms | Loss: 0.125 | Acc: 96.863% (8183/8448)              
 [===========================>.....................................] 34/79   Step: 948ms | Tot: 32s985ms | Loss: 0.124 | Acc: 96.898% (8434/8704)              
 [===========================>.....................................] 35/79   Step: 948ms | Tot: 33s933ms | Loss: 0.123 | Acc: 96.942% (8686/8960)              
 [============================>....................................] 36/79   Step: 1s45ms | Tot: 34s979ms | Loss: 0.121 | Acc: 97.005% (8940/9216)              
 [=============================>...................................] 37/79   Step: 944ms | Tot: 35s924ms | Loss: 0.120 | Acc: 97.023% (9190/9472)              
 [==============================>..................................] 38/79   Step: 942ms | Tot: 36s866ms | Loss: 0.118 | Acc: 97.070% (9443/9728)              
 [===============================>.................................] 39/79   Step: 963ms | Tot: 37s830ms | Loss: 0.117 | Acc: 97.115% (9696/9984)              
 [================================>................................] 40/79   Step: 943ms | Tot: 38s773ms | Loss: 0.115 | Acc: 97.158% (9949/10240)              
 [================================>................................] 41/79   Step: 1s74ms | Tot: 39s848ms | Loss: 0.114 | Acc: 97.218% (10204/10496)              
 [=================================>...............................] 42/79   Step: 933ms | Tot: 40s782ms | Loss: 0.112 | Acc: 97.247% (10456/10752)              
 [==================================>..............................] 43/79   Step: 944ms | Tot: 41s726ms | Loss: 0.111 | Acc: 97.293% (10710/11008)              
 [===================================>.............................] 44/79   Step: 946ms | Tot: 42s672ms | Loss: 0.110 | Acc: 97.337% (10964/11264)              
 [====================================>............................] 45/79   Step: 1s63ms | Tot: 43s736ms | Loss: 0.109 | Acc: 97.361% (11216/11520)              
 [=====================================>...........................] 46/79   Step: 943ms | Tot: 44s679ms | Loss: 0.108 | Acc: 97.368% (11466/11776)              
 [=====================================>...........................] 47/79   Step: 932ms | Tot: 45s612ms | Loss: 0.108 | Acc: 97.382% (11717/12032)              
 [======================================>..........................] 48/79   Step: 939ms | Tot: 46s551ms | Loss: 0.107 | Acc: 97.388% (11967/12288)              
 [=======================================>.........................] 49/79   Step: 949ms | Tot: 47s501ms | Loss: 0.107 | Acc: 97.417% (12220/12544)              
 [========================================>........................] 50/79   Step: 1s40ms | Tot: 48s541ms | Loss: 0.107 | Acc: 97.422% (12470/12800)              
 [=========================================>.......................] 51/79   Step: 938ms | Tot: 49s480ms | Loss: 0.105 | Acc: 97.465% (12725/13056)              
 [=========================================>.......................] 52/79   Step: 933ms | Tot: 50s413ms | Loss: 0.104 | Acc: 97.483% (12977/13312)              
 [==========================================>......................] 53/79   Step: 938ms | Tot: 51s352ms | Loss: 0.104 | Acc: 97.509% (13230/13568)              
 [===========================================>.....................] 54/79   Step: 964ms | Tot: 52s316ms | Loss: 0.103 | Acc: 97.533% (13483/13824)              
 [============================================>....................] 55/79   Step: 1s41ms | Tot: 53s358ms | Loss: 0.103 | Acc: 97.543% (13734/14080)              
 [=============================================>...................] 56/79   Step: 947ms | Tot: 54s306ms | Loss: 0.102 | Acc: 97.559% (13986/14336)              
 [==============================================>..................] 57/79   Step: 934ms | Tot: 55s241ms | Loss: 0.101 | Acc: 97.588% (14240/14592)              
 [==============================================>..................] 58/79   Step: 936ms | Tot: 56s177ms | Loss: 0.101 | Acc: 97.602% (14492/14848)              
 [===============================================>.................] 59/79   Step: 1s51ms | Tot: 57s228ms | Loss: 0.100 | Acc: 97.603% (14742/15104)              
 [================================================>................] 60/79   Step: 942ms | Tot: 58s171ms | Loss: 0.100 | Acc: 97.611% (14993/15360)              
 [=================================================>...............] 61/79   Step: 943ms | Tot: 59s114ms | Loss: 0.099 | Acc: 97.618% (15244/15616)              
 [==================================================>..............] 62/79   Step: 937ms | Tot: 1m52ms | Loss: 0.098 | Acc: 97.644% (15498/15872)              
 [===================================================>.............] 63/79   Step: 932ms | Tot: 1m985ms | Loss: 0.098 | Acc: 97.650% (15749/16128)              
 [===================================================>.............] 64/79   Step: 1s48ms | Tot: 1m2s | Loss: 0.097 | Acc: 97.675% (16003/16384)              
 [====================================================>............] 65/79   Step: 943ms | Tot: 1m2s | Loss: 0.096 | Acc: 97.692% (16256/16640)              
 [=====================================================>...........] 66/79   Step: 946ms | Tot: 1m3s | Loss: 0.096 | Acc: 97.692% (16506/16896)              
 [======================================================>..........] 67/79   Step: 933ms | Tot: 1m4s | Loss: 0.095 | Acc: 97.709% (16759/17152)              
 [=======================================================>.........] 68/79   Step: 1s39ms | Tot: 1m5s | Loss: 0.095 | Acc: 97.725% (17012/17408)              
 [=======================================================>.........] 69/79   Step: 936ms | Tot: 1m6s | Loss: 0.094 | Acc: 97.741% (17265/17664)              
 [========================================================>........] 70/79   Step: 968ms | Tot: 1m7s | Loss: 0.094 | Acc: 97.751% (17517/17920)              
 [=========================================================>.......] 71/79   Step: 938ms | Tot: 1m8s | Loss: 0.093 | Acc: 97.766% (17770/18176)              
 [==========================================================>......] 72/79   Step: 940ms | Tot: 1m9s | Loss: 0.093 | Acc: 97.786% (18024/18432)              
 [===========================================================>.....] 73/79   Step: 1s38ms | Tot: 1m10s | Loss: 0.092 | Acc: 97.795% (18276/18688)              
 [============================================================>....] 74/79   Step: 937ms | Tot: 1m11s | Loss: 0.091 | Acc: 97.815% (18530/18944)              
 [============================================================>....] 75/79   Step: 859ms | Tot: 1m12s | Loss: 0.091 | Acc: 97.828% (18783/19200)              
 [=============================================================>...] 76/79   Step: 844ms | Tot: 1m13s | Loss: 0.090 | Acc: 97.852% (19038/19456)              
 [==============================================================>..] 77/79   Step: 836ms | Tot: 1m14s | Loss: 0.090 | Acc: 97.869% (19292/19712)              
 [===============================================================>.] 78/79   Step: 964ms | Tot: 1m15s | Loss: 0.090 | Acc: 97.872% (19543/19968)              
 [================================================================>] 79/79   Step: 7s457ms | Tot: 1m22s | Loss: 0.091 | Acc: 97.840% (19568/20000)
 [>................................................................] 1/40   Step: 1s138ms | Tot: 0ms | Loss: 1.273 | Acc: 71.094% (182/256)              
