cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the cl selected dataset.
------------------ Start to select subsets ------------------
Start to select 5439 samples for a fair comparison.
Use multiple GPU to train the network.
load parameters
Use 100 epochs

Epoch: 0
 [>................................................................] 1/22   Step: 41s642ms | Tot: 0ms | Loss: 0.799 | Acc: 81.641% (209/256)              
 [==>..............................................................] 2/22   Step: 1s975ms | Tot: 1s975ms | Loss: 0.683 | Acc: 82.422% (422/512)              
 [=====>...........................................................] 3/22   Step: 979ms | Tot: 2s955ms | Loss: 0.711 | Acc: 81.901% (629/768)              
 [========>........................................................] 4/22   Step: 1s175ms | Tot: 4s130ms | Loss: 0.672 | Acc: 83.203% (852/1024)              
 [===========>.....................................................] 5/22   Step: 970ms | Tot: 5s101ms | Loss: 0.647 | Acc: 83.438% (1068/1280)              
 [==============>..................................................] 6/22   Step: 970ms | Tot: 6s71ms | Loss: 0.624 | Acc: 83.919% (1289/1536)              
 [=================>...............................................] 7/22   Step: 978ms | Tot: 7s50ms | Loss: 0.622 | Acc: 83.650% (1499/1792)              
 [====================>............................................] 8/22   Step: 962ms | Tot: 8s12ms | Loss: 0.631 | Acc: 83.350% (1707/2048)              
 [=======================>.........................................] 9/22   Step: 1s76ms | Tot: 9s89ms | Loss: 0.630 | Acc: 83.377% (1921/2304)              
 [==========================>......................................] 10/22   Step: 963ms | Tot: 10s52ms | Loss: 0.629 | Acc: 83.281% (2132/2560)              
 [=============================>...................................] 11/22   Step: 970ms | Tot: 11s23ms | Loss: 0.603 | Acc: 83.771% (2359/2816)              
 [================================>................................] 12/22   Step: 966ms | Tot: 11s990ms | Loss: 0.598 | Acc: 84.017% (2581/3072)              
 [===================================>.............................] 13/22   Step: 1s83ms | Tot: 13s74ms | Loss: 0.592 | Acc: 84.375% (2808/3328)              
 [======================================>..........................] 14/22   Step: 974ms | Tot: 14s49ms | Loss: 0.586 | Acc: 84.459% (3027/3584)              
 [=========================================>.......................] 15/22   Step: 985ms | Tot: 15s34ms | Loss: 0.578 | Acc: 84.557% (3247/3840)              
 [============================================>....................] 16/22   Step: 983ms | Tot: 16s18ms | Loss: 0.573 | Acc: 84.570% (3464/4096)              
 [===============================================>.................] 17/22   Step: 996ms | Tot: 17s15ms | Loss: 0.584 | Acc: 84.375% (3672/4352)              
 [==================================================>..............] 18/22   Step: 1s3ms | Tot: 18s18ms | Loss: 0.582 | Acc: 84.418% (3890/4608)              
 [=====================================================>...........] 19/22   Step: 865ms | Tot: 18s884ms | Loss: 0.579 | Acc: 84.622% (4116/4864)              
 [========================================================>........] 20/22   Step: 864ms | Tot: 19s749ms | Loss: 0.583 | Acc: 84.531% (4328/5120)              
 [===========================================================>.....] 21/22   Step: 858ms | Tot: 20s607ms | Loss: 0.578 | Acc: 84.617% (4549/5376)              
 [==============================================================>..] 22/22   Step: 8s502ms | Tot: 29s109ms | Loss: 0.578 | Acc: 84.556% (4599/5439)
 [>................................................................] 1/40   Step: 1s110ms | Tot: 0ms | Loss: 0.638 | Acc: 84.375% (216/256)              
 [=>...............................................................] 2/40   Step: 419ms | Tot: 419ms | Loss: 0.681 | Acc: 82.812% (424/512)              
 [===>.............................................................] 3/40   Step: 413ms | Tot: 832ms | Loss: 0.676 | Acc: 83.073% (638/768)              
 [====>............................................................] 4/40   Step: 415ms | Tot: 1s248ms | Loss: 0.684 | Acc: 82.617% (846/1024)              
 [======>..........................................................] 5/40   Step: 417ms | Tot: 1s665ms | Loss: 0.644 | Acc: 83.906% (1074/1280)              
 [========>........................................................] 6/40   Step: 588ms | Tot: 2s254ms | Loss: 0.674 | Acc: 82.617% (1269/1536)              
