cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the cl selected dataset.
------------------ Start to select subsets ------------------
Select 10000 samples
Selected 10000 samples.
Use multiple GPU to train the network.
load parameters
Use 100 epochs

Epoch: 0
 [>................................................................] 1/40   Step: 1m32s | Tot: 0ms | Loss: 0.065 | Acc: 97.266% (249/256)              
 [=>...............................................................] 2/40   Step: 1s961ms | Tot: 1s961ms | Loss: 0.059 | Acc: 97.461% (499/512)              
 [===>.............................................................] 3/40   Step: 972ms | Tot: 2s933ms | Loss: 0.052 | Acc: 97.917% (752/768)              
 [====>............................................................] 4/40   Step: 1s126ms | Tot: 4s60ms | Loss: 0.057 | Acc: 97.852% (1002/1024)              
 [======>..........................................................] 5/40   Step: 945ms | Tot: 5s5ms | Loss: 0.053 | Acc: 98.047% (1255/1280)              
 [========>........................................................] 6/40   Step: 951ms | Tot: 5s957ms | Loss: 0.051 | Acc: 98.177% (1508/1536)              
 [=========>.......................................................] 7/40   Step: 944ms | Tot: 6s902ms | Loss: 0.051 | Acc: 98.270% (1761/1792)              
 [===========>.....................................................] 8/40   Step: 949ms | Tot: 7s851ms | Loss: 0.051 | Acc: 98.340% (2014/2048)              
 [=============>...................................................] 9/40   Step: 1s47ms | Tot: 8s898ms | Loss: 0.052 | Acc: 98.307% (2265/2304)              
 [==============>..................................................] 10/40   Step: 949ms | Tot: 9s848ms | Loss: 0.051 | Acc: 98.320% (2517/2560)              
 [================>................................................] 11/40   Step: 949ms | Tot: 10s797ms | Loss: 0.050 | Acc: 98.331% (2769/2816)              
 [=================>...............................................] 12/40   Step: 963ms | Tot: 11s761ms | Loss: 0.048 | Acc: 98.438% (3024/3072)              
 [===================>.............................................] 13/40   Step: 1s75ms | Tot: 12s836ms | Loss: 0.047 | Acc: 98.528% (3279/3328)              
 [=====================>...........................................] 14/40   Step: 976ms | Tot: 13s813ms | Loss: 0.045 | Acc: 98.633% (3535/3584)              
 [======================>..........................................] 15/40   Step: 965ms | Tot: 14s778ms | Loss: 0.045 | Acc: 98.672% (3789/3840)              
 [========================>........................................] 16/40   Step: 968ms | Tot: 15s746ms | Loss: 0.044 | Acc: 98.657% (4041/4096)              
 [==========================>......................................] 17/40   Step: 964ms | Tot: 16s711ms | Loss: 0.043 | Acc: 98.690% (4295/4352)              
 [===========================>.....................................] 18/40   Step: 1s83ms | Tot: 17s795ms | Loss: 0.044 | Acc: 98.676% (4547/4608)              
 [=============================>...................................] 19/40   Step: 958ms | Tot: 18s754ms | Loss: 0.044 | Acc: 98.664% (4799/4864)              
 [==============================>..................................] 20/40   Step: 968ms | Tot: 19s722ms | Loss: 0.043 | Acc: 98.711% (5054/5120)              
 [================================>................................] 21/40   Step: 943ms | Tot: 20s666ms | Loss: 0.043 | Acc: 98.698% (5306/5376)              
 [==================================>..............................] 22/40   Step: 971ms | Tot: 21s637ms | Loss: 0.042 | Acc: 98.722% (5560/5632)              
 [===================================>.............................] 23/40   Step: 1s133ms | Tot: 22s770ms | Loss: 0.041 | Acc: 98.743% (5814/5888)              
 [=====================================>...........................] 24/40   Step: 947ms | Tot: 23s717ms | Loss: 0.040 | Acc: 98.796% (6070/6144)              
 [=======================================>.........................] 25/40   Step: 969ms | Tot: 24s687ms | Loss: 0.041 | Acc: 98.750% (6320/6400)              
 [========================================>........................] 26/40   Step: 951ms | Tot: 25s639ms | Loss: 0.040 | Acc: 98.768% (6574/6656)              
 [==========================================>......................] 27/40   Step: 1s56ms | Tot: 26s695ms | Loss: 0.040 | Acc: 98.770% (6827/6912)              
 [===========================================>.....................] 28/40   Step: 947ms | Tot: 27s643ms | Loss: 0.040 | Acc: 98.772% (7080/7168)              
 [=============================================>...................] 29/40   Step: 945ms | Tot: 28s588ms | Loss: 0.040 | Acc: 98.761% (7332/7424)              
 [===============================================>.................] 30/40   Step: 947ms | Tot: 29s536ms | Loss: 0.040 | Acc: 98.789% (7587/7680)              
 [================================================>................] 31/40   Step: 950ms | Tot: 30s487ms | Loss: 0.039 | Acc: 98.803% (7841/7936)              
 [==================================================>..............] 32/40   Step: 1s56ms | Tot: 31s543ms | Loss: 0.039 | Acc: 98.804% (8094/8192)              
 [====================================================>............] 33/40   Step: 969ms | Tot: 32s513ms | Loss: 0.039 | Acc: 98.804% (8347/8448)              
 [=====================================================>...........] 34/40   Step: 951ms | Tot: 33s464ms | Loss: 0.039 | Acc: 98.805% (8600/8704)              
 [=======================================================>.........] 35/40   Step: 960ms | Tot: 34s425ms | Loss: 0.039 | Acc: 98.806% (8853/8960)              
 [========================================================>........] 36/40   Step: 960ms | Tot: 35s385ms | Loss: 0.038 | Acc: 98.839% (9109/9216)              
 [==========================================================>......] 37/40   Step: 841ms | Tot: 36s226ms | Loss: 0.038 | Acc: 98.839% (9362/9472)              
 [============================================================>....] 38/40   Step: 840ms | Tot: 37s67ms | Loss: 0.038 | Acc: 98.849% (9616/9728)              
 [=============================================================>...] 39/40   Step: 839ms | Tot: 37s906ms | Loss: 0.038 | Acc: 98.848% (9869/9984)              
 [===============================================================>.] 40/40   Step: 7s598ms | Tot: 45s505ms | Loss: 0.039 | Acc: 98.830% (9883/10000)
 [>................................................................] 1/40   Step: 1s296ms | Tot: 0ms | Loss: 0.502 | Acc: 88.672% (227/256)              
 [=>...............................................................] 2/40   Step: 416ms | Tot: 416ms | Loss: 0.635 | Acc: 84.180% (431/512)              
 [===>.............................................................] 3/40   Step: 412ms | Tot: 828ms | Loss: 0.616 | Acc: 84.245% (647/768)              
 [====>............................................................] 4/40   Step: 410ms | Tot: 1s239ms | Loss: 0.596 | Acc: 84.570% (866/1024)              
 [======>..........................................................] 5/40   Step: 411ms | Tot: 1s650ms | Loss: 0.548 | Acc: 85.547% (1095/1280)              
 [========>........................................................] 6/40   Step: 412ms | Tot: 2s62ms | Loss: 0.588 | Acc: 84.766% (1302/1536)              
 [=========>.......................................................] 7/40   Step: 516ms | Tot: 2s579ms | Loss: 0.597 | Acc: 84.933% (1522/1792)              
 [===========>.....................................................] 8/40   Step: 411ms | Tot: 2s990ms | Loss: 0.618 | Acc: 84.570% (1732/2048)              
 [=============>...................................................] 9/40   Step: 410ms | Tot: 3s401ms | Loss: 0.630 | Acc: 84.375% (1944/2304)              
 [==============>..................................................] 10/40   Step: 410ms | Tot: 3s812ms | Loss: 0.625 | Acc: 84.648% (2167/2560)              
 [================>................................................] 11/40   Step: 412ms | Tot: 4s224ms | Loss: 0.629 | Acc: 84.304% (2374/2816)              
 [=================>...............................................] 12/40   Step: 519ms | Tot: 4s744ms | Loss: 0.636 | Acc: 84.342% (2591/3072)              
 [===================>.............................................] 13/40   Step: 415ms | Tot: 5s160ms | Loss: 0.633 | Acc: 84.405% (2809/3328)              
 [=====================>...........................................] 14/40   Step: 423ms | Tot: 5s584ms | Loss: 0.618 | Acc: 84.682% (3035/3584)              
 [======================>..........................................] 15/40   Step: 411ms | Tot: 5s995ms | Loss: 0.625 | Acc: 84.323% (3238/3840)              
 [========================>........................................] 16/40   Step: 410ms | Tot: 6s405ms | Loss: 0.634 | Acc: 84.277% (3452/4096)              
 [==========================>......................................] 17/40   Step: 410ms | Tot: 6s816ms | Loss: 0.635 | Acc: 84.237% (3666/4352)              
 [===========================>.....................................] 18/40   Step: 519ms | Tot: 7s336ms | Loss: 0.645 | Acc: 83.984% (3870/4608)              
 [=============================>...................................] 19/40   Step: 411ms | Tot: 7s747ms | Loss: 0.653 | Acc: 83.820% (4077/4864)              
 [==============================>..................................] 20/40   Step: 410ms | Tot: 8s158ms | Loss: 0.657 | Acc: 83.828% (4292/5120)              
 [================================>................................] 21/40   Step: 410ms | Tot: 8s568ms | Loss: 0.650 | Acc: 83.947% (4513/5376)              
 [==================================>..............................] 22/40   Step: 411ms | Tot: 8s979ms | Loss: 0.649 | Acc: 83.878% (4724/5632)              
 [===================================>.............................] 23/40   Step: 519ms | Tot: 9s499ms | Loss: 0.657 | Acc: 83.679% (4927/5888)              
