cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 1
Train with the bwcl selected dataset.
Now try to run the BWCL algorithm
2452 boundary samples
Save selected sample idx
Selected 5960 samples for a fair comparison.
Use multiple GPU to train the network.
Use 150 epochs

Epoch: 0
 [>................................................................] 1/24   Step: 38s328ms | Tot: 0ms | Loss: 2.304 | Acc: 12.500% (32/256)              
 [==>..............................................................] 2/24   Step: 1s987ms | Tot: 1s987ms | Loss: 2.367 | Acc: 12.305% (63/512)              
 [=====>...........................................................] 3/24   Step: 974ms | Tot: 2s962ms | Loss: 2.431 | Acc: 11.849% (91/768)              
 [========>........................................................] 4/24   Step: 1s177ms | Tot: 4s139ms | Loss: 2.469 | Acc: 14.941% (153/1024)              
 [==========>......................................................] 5/24   Step: 965ms | Tot: 5s105ms | Loss: 2.458 | Acc: 15.078% (193/1280)              
 [=============>...................................................] 6/24   Step: 987ms | Tot: 6s93ms | Loss: 2.476 | Acc: 15.430% (237/1536)              
 [================>................................................] 7/24   Step: 964ms | Tot: 7s57ms | Loss: 2.453 | Acc: 16.239% (291/1792)              
 [==================>..............................................] 8/24   Step: 966ms | Tot: 8s24ms | Loss: 2.425 | Acc: 16.797% (344/2048)              
 [=====================>...........................................] 9/24   Step: 1s68ms | Tot: 9s92ms | Loss: 2.400 | Acc: 17.839% (411/2304)              
 [========================>........................................] 10/24   Step: 969ms | Tot: 10s62ms | Loss: 2.364 | Acc: 18.711% (479/2560)              
 [===========================>.....................................] 11/24   Step: 965ms | Tot: 11s27ms | Loss: 2.347 | Acc: 18.430% (519/2816)              
 [=============================>...................................] 12/24   Step: 963ms | Tot: 11s990ms | Loss: 2.332 | Acc: 18.652% (573/3072)              
 [================================>................................] 13/24   Step: 1s72ms | Tot: 13s63ms | Loss: 2.328 | Acc: 18.840% (627/3328)              
 [===================================>.............................] 14/24   Step: 965ms | Tot: 14s29ms | Loss: 2.308 | Acc: 19.336% (693/3584)              
 [=====================================>...........................] 15/24   Step: 966ms | Tot: 14s995ms | Loss: 2.301 | Acc: 19.401% (745/3840)              
 [========================================>........................] 16/24   Step: 984ms | Tot: 15s979ms | Loss: 2.286 | Acc: 19.873% (814/4096)              
 [===========================================>.....................] 17/24   Step: 970ms | Tot: 16s950ms | Loss: 2.271 | Acc: 19.968% (869/4352)              
 [==============================================>..................] 18/24   Step: 1s74ms | Tot: 18s24ms | Loss: 2.258 | Acc: 20.508% (945/4608)              
 [================================================>................] 19/24   Step: 969ms | Tot: 18s994ms | Loss: 2.250 | Acc: 20.909% (1017/4864)              
 [===================================================>.............] 20/24   Step: 886ms | Tot: 19s881ms | Loss: 2.237 | Acc: 21.191% (1085/5120)              
 [======================================================>..........] 21/24   Step: 862ms | Tot: 20s744ms | Loss: 2.224 | Acc: 21.354% (1148/5376)              
 [========================================================>........] 22/24   Step: 1s9ms | Tot: 21s753ms | Loss: 2.217 | Acc: 21.289% (1199/5632)              
 [===========================================================>.....] 23/24   Step: 856ms | Tot: 22s610ms | Loss: 2.208 | Acc: 21.518% (1267/5888)              
 [==============================================================>..] 24/24   Step: 7s659ms | Tot: 30s269ms | Loss: 2.204 | Acc: 21.577% (1286/5960)
 [>................................................................] 1/40   Step: 1s107ms | Tot: 0ms | Loss: 1.871 | Acc: 32.031% (82/256)              
 [=>...............................................................] 2/40   Step: 444ms | Tot: 444ms | Loss: 1.947 | Acc: 29.102% (149/512)              
 [===>.............................................................] 3/40   Step: 427ms | Tot: 872ms | Loss: 1.960 | Acc: 27.865% (214/768)              
 [====>............................................................] 4/40   Step: 584ms | Tot: 1s456ms | Loss: 1.974 | Acc: 27.148% (278/1024)              
 [======>..........................................................] 5/40   Step: 426ms | Tot: 1s883ms | Loss: 1.982 | Acc: 27.031% (346/1280)              
 [========>........................................................] 6/40   Step: 433ms | Tot: 2s317ms | Loss: 1.991 | Acc: 26.953% (414/1536)              
