cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the cl selected dataset.
------------------ Start to select subsets ------------------
Select 5 percent samples
Select 20000 samples
Selected 20000 samples.
Use multiple GPU to train the network.
load parameters
Use 100 epochs

Epoch: 0
 [>................................................................] 1/79   Step: 39s703ms | Tot: 0ms | Loss: 0.003 | Acc: 100.000% (256/256)              
 [>................................................................] 2/79   Step: 1s972ms | Tot: 1s972ms | Loss: 0.002 | Acc: 100.000% (512/512)              
 [=>...............................................................] 3/79   Step: 986ms | Tot: 2s959ms | Loss: 0.003 | Acc: 100.000% (768/768)              
 [==>..............................................................] 4/79   Step: 1s162ms | Tot: 4s122ms | Loss: 0.002 | Acc: 100.000% (1024/1024)              
 [===>.............................................................] 5/79   Step: 965ms | Tot: 5s87ms | Loss: 0.003 | Acc: 100.000% (1280/1280)              
 [====>............................................................] 6/79   Step: 973ms | Tot: 6s61ms | Loss: 0.003 | Acc: 100.000% (1536/1536)              
 [====>............................................................] 7/79   Step: 971ms | Tot: 7s33ms | Loss: 0.003 | Acc: 100.000% (1792/1792)              
 [=====>...........................................................] 8/79   Step: 963ms | Tot: 7s997ms | Loss: 0.002 | Acc: 100.000% (2048/2048)              
 [======>..........................................................] 9/79   Step: 1s66ms | Tot: 9s63ms | Loss: 0.003 | Acc: 100.000% (2304/2304)              
 [=======>.........................................................] 10/79   Step: 963ms | Tot: 10s26ms | Loss: 0.003 | Acc: 100.000% (2560/2560)              
 [========>........................................................] 11/79   Step: 965ms | Tot: 10s991ms | Loss: 0.003 | Acc: 100.000% (2816/2816)              
 [=========>.......................................................] 12/79   Step: 964ms | Tot: 11s956ms | Loss: 0.003 | Acc: 100.000% (3072/3072)              
 [=========>.......................................................] 13/79   Step: 1s79ms | Tot: 13s35ms | Loss: 0.003 | Acc: 100.000% (3328/3328)              
 [==========>......................................................] 14/79   Step: 962ms | Tot: 13s998ms | Loss: 0.003 | Acc: 100.000% (3584/3584)              
 [===========>.....................................................] 15/79   Step: 970ms | Tot: 14s969ms | Loss: 0.003 | Acc: 100.000% (3840/3840)              
 [============>....................................................] 16/79   Step: 986ms | Tot: 15s955ms | Loss: 0.003 | Acc: 100.000% (4096/4096)              
 [=============>...................................................] 17/79   Step: 975ms | Tot: 16s931ms | Loss: 0.003 | Acc: 100.000% (4352/4352)              
 [=============>...................................................] 18/79   Step: 1s81ms | Tot: 18s12ms | Loss: 0.003 | Acc: 100.000% (4608/4608)              
 [==============>..................................................] 19/79   Step: 972ms | Tot: 18s985ms | Loss: 0.003 | Acc: 100.000% (4864/4864)              
 [===============>.................................................] 20/79   Step: 964ms | Tot: 19s950ms | Loss: 0.003 | Acc: 100.000% (5120/5120)              
 [================>................................................] 21/79   Step: 960ms | Tot: 20s910ms | Loss: 0.003 | Acc: 100.000% (5376/5376)              
 [=================>...............................................] 22/79   Step: 962ms | Tot: 21s872ms | Loss: 0.003 | Acc: 100.000% (5632/5632)              
 [==================>..............................................] 23/79   Step: 1s122ms | Tot: 22s995ms | Loss: 0.003 | Acc: 100.000% (5888/5888)              
 [==================>..............................................] 24/79   Step: 961ms | Tot: 23s957ms | Loss: 0.003 | Acc: 100.000% (6144/6144)              
 [===================>.............................................] 25/79   Step: 964ms | Tot: 24s921ms | Loss: 0.003 | Acc: 100.000% (6400/6400)              
 [====================>............................................] 26/79   Step: 971ms | Tot: 25s892ms | Loss: 0.003 | Acc: 99.985% (6655/6656)              
 [=====================>...........................................] 27/79   Step: 1s79ms | Tot: 26s971ms | Loss: 0.003 | Acc: 99.986% (6911/6912)              
 [======================>..........................................] 28/79   Step: 966ms | Tot: 27s938ms | Loss: 0.003 | Acc: 99.972% (7166/7168)              
 [=======================>.........................................] 29/79   Step: 962ms | Tot: 28s901ms | Loss: 0.003 | Acc: 99.973% (7422/7424)              
 [=======================>.........................................] 30/79   Step: 963ms | Tot: 29s864ms | Loss: 0.003 | Acc: 99.974% (7678/7680)              
 [========================>........................................] 31/79   Step: 960ms | Tot: 30s825ms | Loss: 0.003 | Acc: 99.975% (7934/7936)              
 [=========================>.......................................] 32/79   Step: 1s65ms | Tot: 31s890ms | Loss: 0.003 | Acc: 99.976% (8190/8192)              
 [==========================>......................................] 33/79   Step: 980ms | Tot: 32s871ms | Loss: 0.003 | Acc: 99.976% (8446/8448)              
 [===========================>.....................................] 34/79   Step: 960ms | Tot: 33s831ms | Loss: 0.003 | Acc: 99.977% (8702/8704)              
 [===========================>.....................................] 35/79   Step: 963ms | Tot: 34s794ms | Loss: 0.003 | Acc: 99.978% (8958/8960)              
 [============================>....................................] 36/79   Step: 1s90ms | Tot: 35s884ms | Loss: 0.003 | Acc: 99.978% (9214/9216)              
 [=============================>...................................] 37/79   Step: 971ms | Tot: 36s856ms | Loss: 0.003 | Acc: 99.979% (9470/9472)              
 [==============================>..................................] 38/79   Step: 976ms | Tot: 37s832ms | Loss: 0.003 | Acc: 99.979% (9726/9728)              
 [===============================>.................................] 39/79   Step: 964ms | Tot: 38s797ms | Loss: 0.003 | Acc: 99.980% (9982/9984)              
 [================================>................................] 40/79   Step: 961ms | Tot: 39s759ms | Loss: 0.003 | Acc: 99.980% (10238/10240)              
 [================================>................................] 41/79   Step: 1s103ms | Tot: 40s862ms | Loss: 0.003 | Acc: 99.981% (10494/10496)              
 [=================================>...............................] 42/79   Step: 958ms | Tot: 41s820ms | Loss: 0.003 | Acc: 99.981% (10750/10752)              
 [==================================>..............................] 43/79   Step: 975ms | Tot: 42s796ms | Loss: 0.003 | Acc: 99.973% (11005/11008)              
 [===================================>.............................] 44/79   Step: 963ms | Tot: 43s759ms | Loss: 0.003 | Acc: 99.973% (11261/11264)              
 [====================================>............................] 45/79   Step: 958ms | Tot: 44s718ms | Loss: 0.003 | Acc: 99.974% (11517/11520)              
 [=====================================>...........................] 46/79   Step: 1s90ms | Tot: 45s808ms | Loss: 0.003 | Acc: 99.966% (11772/11776)              
 [=====================================>...........................] 47/79   Step: 966ms | Tot: 46s774ms | Loss: 0.003 | Acc: 99.967% (12028/12032)              
 [======================================>..........................] 48/79   Step: 967ms | Tot: 47s742ms | Loss: 0.003 | Acc: 99.967% (12284/12288)              
 [=======================================>.........................] 49/79   Step: 961ms | Tot: 48s703ms | Loss: 0.003 | Acc: 99.960% (12539/12544)              
 [========================================>........................] 50/79   Step: 1s65ms | Tot: 49s769ms | Loss: 0.003 | Acc: 99.961% (12795/12800)              
 [=========================================>.......................] 51/79   Step: 964ms | Tot: 50s733ms | Loss: 0.003 | Acc: 99.962% (13051/13056)              
 [=========================================>.......................] 52/79   Step: 960ms | Tot: 51s694ms | Loss: 0.003 | Acc: 99.962% (13307/13312)              
 [==========================================>......................] 53/79   Step: 973ms | Tot: 52s667ms | Loss: 0.004 | Acc: 99.956% (13562/13568)              
 [===========================================>.....................] 54/79   Step: 961ms | Tot: 53s629ms | Loss: 0.004 | Acc: 99.957% (13818/13824)              
 [============================================>....................] 55/79   Step: 1s67ms | Tot: 54s696ms | Loss: 0.004 | Acc: 99.950% (14073/14080)              
 [=============================================>...................] 56/79   Step: 970ms | Tot: 55s667ms | Loss: 0.004 | Acc: 99.951% (14329/14336)              
 [==============================================>..................] 57/79   Step: 966ms | Tot: 56s633ms | Loss: 0.004 | Acc: 99.952% (14585/14592)              
 [==============================================>..................] 58/79   Step: 963ms | Tot: 57s597ms | Loss: 0.004 | Acc: 99.953% (14841/14848)              
 [===============================================>.................] 59/79   Step: 967ms | Tot: 58s564ms | Loss: 0.004 | Acc: 99.947% (15096/15104)              
 [================================================>................] 60/79   Step: 1s70ms | Tot: 59s635ms | Loss: 0.004 | Acc: 99.948% (15352/15360)              
 [=================================================>...............] 61/79   Step: 963ms | Tot: 1m599ms | Loss: 0.004 | Acc: 99.949% (15608/15616)              
 [==================================================>..............] 62/79   Step: 961ms | Tot: 1m1s | Loss: 0.004 | Acc: 99.943% (15863/15872)              
 [===================================================>.............] 63/79   Step: 972ms | Tot: 1m2s | Loss: 0.004 | Acc: 99.944% (16119/16128)              
 [===================================================>.............] 64/79   Step: 964ms | Tot: 1m3s | Loss: 0.004 | Acc: 99.945% (16375/16384)              
 [====================================================>............] 65/79   Step: 1s73ms | Tot: 1m4s | Loss: 0.004 | Acc: 99.946% (16631/16640)              
 [=====================================================>...........] 66/79   Step: 981ms | Tot: 1m5s | Loss: 0.004 | Acc: 99.947% (16887/16896)              
 [======================================================>..........] 67/79   Step: 972ms | Tot: 1m6s | Loss: 0.004 | Acc: 99.948% (17143/17152)              
 [=======================================================>.........] 68/79   Step: 964ms | Tot: 1m7s | Loss: 0.004 | Acc: 99.943% (17398/17408)              
 [=======================================================>.........] 69/79   Step: 1s73ms | Tot: 1m8s | Loss: 0.004 | Acc: 99.943% (17654/17664)              
 [========================================================>........] 70/79   Step: 959ms | Tot: 1m9s | Loss: 0.004 | Acc: 99.944% (17910/17920)              
 [=========================================================>.......] 71/79   Step: 963ms | Tot: 1m10s | Loss: 0.004 | Acc: 99.945% (18166/18176)              
 [==========================================================>......] 72/79   Step: 958ms | Tot: 1m11s | Loss: 0.004 | Acc: 99.946% (18422/18432)              
 [===========================================================>.....] 73/79   Step: 977ms | Tot: 1m12s | Loss: 0.004 | Acc: 99.946% (18678/18688)              
 [============================================================>....] 74/79   Step: 1s86ms | Tot: 1m13s | Loss: 0.004 | Acc: 99.947% (18934/18944)              
