cifar40 loaded
There are 16042 training samples and 3958 validation samples
There are 4000 test samples.
This is records for stage 2
Train with the whole dataset.
Use multiple GPU to train the network.
load parameters
Use 100 epochs

Epoch: 0
 [>................................................................] 1/63   Step: 31s251ms | Tot: 0ms | Loss: 0.094 | Acc: 97.656% (250/256)              
 [=>...............................................................] 2/63   Step: 2s45ms | Tot: 2s45ms | Loss: 0.091 | Acc: 97.070% (497/512)              
 [==>..............................................................] 3/63   Step: 966ms | Tot: 3s12ms | Loss: 0.089 | Acc: 97.266% (747/768)              
 [===>.............................................................] 4/63   Step: 1s155ms | Tot: 4s167ms | Loss: 0.095 | Acc: 97.168% (995/1024)              
 [====>............................................................] 5/63   Step: 954ms | Tot: 5s121ms | Loss: 0.096 | Acc: 97.031% (1242/1280)              
 [=====>...........................................................] 6/63   Step: 956ms | Tot: 6s78ms | Loss: 0.098 | Acc: 96.875% (1488/1536)              
 [======>..........................................................] 7/63   Step: 958ms | Tot: 7s36ms | Loss: 0.093 | Acc: 97.210% (1742/1792)              
 [=======>.........................................................] 8/63   Step: 953ms | Tot: 7s990ms | Loss: 0.096 | Acc: 97.314% (1993/2048)              
 [========>........................................................] 9/63   Step: 1s56ms | Tot: 9s46ms | Loss: 0.093 | Acc: 97.483% (2246/2304)              
 [=========>.......................................................] 10/63   Step: 951ms | Tot: 9s998ms | Loss: 0.096 | Acc: 97.422% (2494/2560)              
 [==========>......................................................] 11/63   Step: 955ms | Tot: 10s954ms | Loss: 0.099 | Acc: 97.301% (2740/2816)              
 [===========>.....................................................] 12/63   Step: 967ms | Tot: 11s922ms | Loss: 0.097 | Acc: 97.363% (2991/3072)              
 [============>....................................................] 13/63   Step: 1s57ms | Tot: 12s979ms | Loss: 0.099 | Acc: 97.296% (3238/3328)              
 [=============>...................................................] 14/63   Step: 955ms | Tot: 13s934ms | Loss: 0.097 | Acc: 97.377% (3490/3584)              
 [==============>..................................................] 15/63   Step: 961ms | Tot: 14s896ms | Loss: 0.097 | Acc: 97.344% (3738/3840)              
 [===============>.................................................] 16/63   Step: 953ms | Tot: 15s849ms | Loss: 0.096 | Acc: 97.339% (3987/4096)              
 [================>................................................] 17/63   Step: 953ms | Tot: 16s802ms | Loss: 0.095 | Acc: 97.358% (4237/4352)              
 [=================>...............................................] 18/63   Step: 1s76ms | Tot: 17s879ms | Loss: 0.094 | Acc: 97.331% (4485/4608)              
 [==================>..............................................] 19/63   Step: 962ms | Tot: 18s842ms | Loss: 0.096 | Acc: 97.266% (4731/4864)              
 [===================>.............................................] 20/63   Step: 957ms | Tot: 19s799ms | Loss: 0.095 | Acc: 97.305% (4982/5120)              
 [====================>............................................] 21/63   Step: 950ms | Tot: 20s749ms | Loss: 0.094 | Acc: 97.359% (5234/5376)              
 [=====================>...........................................] 22/63   Step: 976ms | Tot: 21s725ms | Loss: 0.094 | Acc: 97.390% (5485/5632)              
 [======================>..........................................] 23/63   Step: 1s115ms | Tot: 22s841ms | Loss: 0.093 | Acc: 97.418% (5736/5888)              
 [=======================>.........................................] 24/63   Step: 965ms | Tot: 23s806ms | Loss: 0.093 | Acc: 97.396% (5984/6144)              
 [========================>........................................] 25/63   Step: 955ms | Tot: 24s762ms | Loss: 0.092 | Acc: 97.391% (6233/6400)              
 [=========================>.......................................] 26/63   Step: 952ms | Tot: 25s714ms | Loss: 0.090 | Acc: 97.491% (6489/6656)              
 [==========================>......................................] 27/63   Step: 1s63ms | Tot: 26s778ms | Loss: 0.089 | Acc: 97.555% (6743/6912)              
 [===========================>.....................................] 28/63   Step: 956ms | Tot: 27s734ms | Loss: 0.088 | Acc: 97.559% (6993/7168)              
 [============================>....................................] 29/63   Step: 951ms | Tot: 28s686ms | Loss: 0.087 | Acc: 97.602% (7246/7424)              
 [=============================>...................................] 30/63   Step: 952ms | Tot: 29s638ms | Loss: 0.087 | Acc: 97.604% (7496/7680)              
 [==============================>..................................] 31/63   Step: 950ms | Tot: 30s589ms | Loss: 0.086 | Acc: 97.631% (7748/7936)              
