cifar40 loaded
There are 16042 training samples and 3958 validation samples
There are 4000 test samples.
This is records for stage 1
Train with the cl selected dataset.
------------------ Start to select subsets ------------------
Select 8 percent samples
Select 12833 samples
Selected 12800 samples.
Use multiple GPU to train the network.
Use 150 epochs

Epoch: 0
 [>................................................................] 1/50   Step: 32s87ms | Tot: 0ms | Loss: 3.728 | Acc: 1.172% (3/256)              
 [=>...............................................................] 2/50   Step: 1s953ms | Tot: 1s953ms | Loss: 3.693 | Acc: 2.930% (15/512)              
 [==>..............................................................] 3/50   Step: 968ms | Tot: 2s921ms | Loss: 3.696 | Acc: 3.516% (27/768)              
 [===>.............................................................] 4/50   Step: 1s156ms | Tot: 4s77ms | Loss: 3.666 | Acc: 4.297% (44/1024)              
 [=====>...........................................................] 5/50   Step: 959ms | Tot: 5s37ms | Loss: 3.660 | Acc: 4.922% (63/1280)              
 [======>..........................................................] 6/50   Step: 961ms | Tot: 5s998ms | Loss: 3.631 | Acc: 5.794% (89/1536)              
 [=======>.........................................................] 7/50   Step: 957ms | Tot: 6s955ms | Loss: 3.619 | Acc: 5.636% (101/1792)              
 [=========>.......................................................] 8/50   Step: 956ms | Tot: 7s911ms | Loss: 3.580 | Acc: 6.543% (134/2048)              
 [==========>......................................................] 9/50   Step: 1s72ms | Tot: 8s984ms | Loss: 3.546 | Acc: 7.118% (164/2304)              
 [===========>.....................................................] 10/50   Step: 984ms | Tot: 9s969ms | Loss: 3.536 | Acc: 7.578% (194/2560)              
 [=============>...................................................] 11/50   Step: 963ms | Tot: 10s932ms | Loss: 3.521 | Acc: 8.026% (226/2816)              
 [==============>..................................................] 12/50   Step: 957ms | Tot: 11s889ms | Loss: 3.503 | Acc: 8.561% (263/3072)              
 [===============>.................................................] 13/50   Step: 1s66ms | Tot: 12s956ms | Loss: 3.496 | Acc: 8.954% (298/3328)              
 [================>................................................] 14/50   Step: 965ms | Tot: 13s921ms | Loss: 3.487 | Acc: 9.180% (329/3584)              
 [==================>..............................................] 15/50   Step: 958ms | Tot: 14s880ms | Loss: 3.474 | Acc: 9.427% (362/3840)              
 [===================>.............................................] 16/50   Step: 963ms | Tot: 15s843ms | Loss: 3.452 | Acc: 9.619% (394/4096)              
 [====================>............................................] 17/50   Step: 972ms | Tot: 16s816ms | Loss: 3.432 | Acc: 9.858% (429/4352)              
 [======================>..........................................] 18/50   Step: 1s62ms | Tot: 17s878ms | Loss: 3.430 | Acc: 9.918% (457/4608)              
 [=======================>.........................................] 19/50   Step: 966ms | Tot: 18s845ms | Loss: 3.427 | Acc: 10.218% (497/4864)              
 [========================>........................................] 20/50   Step: 985ms | Tot: 19s830ms | Loss: 3.410 | Acc: 10.469% (536/5120)              
 [==========================>......................................] 21/50   Step: 964ms | Tot: 20s794ms | Loss: 3.405 | Acc: 10.714% (576/5376)              
 [===========================>.....................................] 22/50   Step: 967ms | Tot: 21s762ms | Loss: 3.391 | Acc: 10.849% (611/5632)              
 [============================>....................................] 23/50   Step: 1s102ms | Tot: 22s864ms | Loss: 3.386 | Acc: 11.039% (650/5888)              
 [=============================>...................................] 24/50   Step: 953ms | Tot: 23s817ms | Loss: 3.374 | Acc: 11.296% (694/6144)              
 [===============================>.................................] 25/50   Step: 961ms | Tot: 24s779ms | Loss: 3.369 | Acc: 11.422% (731/6400)              
 [================================>................................] 26/50   Step: 960ms | Tot: 25s739ms | Loss: 3.359 | Acc: 11.614% (773/6656)              
 [=================================>...............................] 27/50   Step: 1s61ms | Tot: 26s801ms | Loss: 3.350 | Acc: 11.820% (817/6912)              
 [===================================>.............................] 28/50   Step: 956ms | Tot: 27s758ms | Loss: 3.341 | Acc: 11.844% (849/7168)              
 [====================================>............................] 29/50   Step: 958ms | Tot: 28s717ms | Loss: 3.338 | Acc: 12.015% (892/7424)              
 [=====================================>...........................] 30/50   Step: 985ms | Tot: 29s702ms | Loss: 3.333 | Acc: 12.096% (929/7680)              
 [=======================================>.........................] 31/50   Step: 965ms | Tot: 30s668ms | Loss: 3.326 | Acc: 12.198% (968/7936)              
 [========================================>........................] 32/50   Step: 1s60ms | Tot: 31s729ms | Loss: 3.318 | Acc: 12.378% (1014/8192)              
 [=========================================>.......................] 33/50   Step: 957ms | Tot: 32s687ms | Loss: 3.313 | Acc: 12.441% (1051/8448)              
 [==========================================>......................] 34/50   Step: 954ms | Tot: 33s641ms | Loss: 3.306 | Acc: 12.603% (1097/8704)              
 [============================================>....................] 35/50   Step: 956ms | Tot: 34s597ms | Loss: 3.298 | Acc: 12.768% (1144/8960)              
 [=============================================>...................] 36/50   Step: 1s62ms | Tot: 35s660ms | Loss: 3.293 | Acc: 12.880% (1187/9216)              
 [==============================================>..................] 37/50   Step: 960ms | Tot: 36s620ms | Loss: 3.286 | Acc: 13.049% (1236/9472)              
 [================================================>................] 38/50   Step: 966ms | Tot: 37s586ms | Loss: 3.273 | Acc: 13.271% (1291/9728)              
 [=================================================>...............] 39/50   Step: 963ms | Tot: 38s550ms | Loss: 3.264 | Acc: 13.502% (1348/9984)              
 [==================================================>..............] 40/50   Step: 996ms | Tot: 39s546ms | Loss: 3.262 | Acc: 13.633% (1396/10240)              
 [====================================================>............] 41/50   Step: 1s77ms | Tot: 40s624ms | Loss: 3.252 | Acc: 13.910% (1460/10496)              
 [=====================================================>...........] 42/50   Step: 954ms | Tot: 41s579ms | Loss: 3.250 | Acc: 14.025% (1508/10752)              
 [======================================================>..........] 43/50   Step: 960ms | Tot: 42s540ms | Loss: 3.247 | Acc: 14.072% (1549/11008)              
 [=======================================================>.........] 44/50   Step: 957ms | Tot: 43s498ms | Loss: 3.245 | Acc: 14.187% (1598/11264)              
 [=========================================================>.......] 45/50   Step: 1s93ms | Tot: 44s591ms | Loss: 3.238 | Acc: 14.340% (1652/11520)              
 [==========================================================>......] 46/50   Step: 959ms | Tot: 45s551ms | Loss: 3.233 | Acc: 14.436% (1700/11776)              
 [===========================================================>.....] 47/50   Step: 846ms | Tot: 46s397ms | Loss: 3.225 | Acc: 14.619% (1759/12032)              
 [=============================================================>...] 48/50   Step: 843ms | Tot: 47s241ms | Loss: 3.220 | Acc: 14.762% (1814/12288)              
 [==============================================================>..] 49/50   Step: 846ms | Tot: 48s88ms | Loss: 3.214 | Acc: 14.931% (1873/12544)              
 [===============================================================>.] 50/50   Step: 980ms | Tot: 49s68ms | Loss: 3.212 | Acc: 14.969% (1916/12800)
 [>................................................................] 1/16   Step: 977ms | Tot: 0ms | Loss: 3.017 | Acc: 19.141% (49/256)              
 [====>............................................................] 2/16   Step: 461ms | Tot: 461ms | Loss: 3.079 | Acc: 19.141% (98/512)              
 [========>........................................................] 3/16   Step: 427ms | Tot: 889ms | Loss: 3.119 | Acc: 17.839% (137/768)              
 [============>....................................................] 4/16   Step: 416ms | Tot: 1s305ms | Loss: 3.096 | Acc: 17.969% (184/1024)              
 [================>................................................] 5/16   Step: 580ms | Tot: 1s885ms | Loss: 3.058 | Acc: 19.219% (246/1280)              
 [====================>............................................] 6/16   Step: 420ms | Tot: 2s306ms | Loss: 3.065 | Acc: 18.945% (291/1536)              
 [========================>........................................] 7/16   Step: 419ms | Tot: 2s725ms | Loss: 3.049 | Acc: 18.527% (332/1792)              
 [============================>....................................] 8/16   Step: 417ms | Tot: 3s142ms | Loss: 3.039 | Acc: 18.604% (381/2048)              
 [================================>................................] 9/16   Step: 415ms | Tot: 3s558ms | Loss: 3.050 | Acc: 18.793% (433/2304)              
 [====================================>............................] 10/16   Step: 422ms | Tot: 3s980ms | Loss: 3.070 | Acc: 18.359% (470/2560)              
 [========================================>........................] 11/16   Step: 523ms | Tot: 4s504ms | Loss: 3.059 | Acc: 18.679% (526/2816)              
 [============================================>....................] 12/16   Step: 396ms | Tot: 4s900ms | Loss: 3.045 | Acc: 19.010% (584/3072)              
 [================================================>................] 13/16   Step: 370ms | Tot: 5s271ms | Loss: 3.046 | Acc: 19.020% (633/3328)              
 [====================================================>............] 14/16   Step: 371ms | Tot: 5s642ms | Loss: 3.052 | Acc: 19.029% (682/3584)              
 [========================================================>........] 15/16   Step: 374ms | Tot: 6s16ms | Loss: 3.057 | Acc: 19.167% (736/3840)              
 [============================================================>....] 16/16   Step: 3s467ms | Tot: 9s484ms | Loss: 3.064 | Acc: 19.050% (754/3958)
Saving with better validation accuracy model: 19.050..

Epoch: 1
 [>................................................................] 1/50   Step: 3s169ms | Tot: 0ms | Loss: 2.829 | Acc: 23.438% (60/256)              
